res_id,gender,age,MateComp.cont,hate_violence_means,hate_pol_message,hate_prevent_settlement,hate_polcondemn
474379040,Male,50,1,1,1,1,1
437984142,Male,46,2,1,1,4,3
497782041,Female,21,2,1,2,1,1
403558844,Female,38,1,1,1,1,1
454062741,Male,58,1,1,1,1,1
414984640,Female,48,2,2,1,1,2
424933143,Male,52,2,1,1,1,1
433994941,Male,58,1,1,1,1,2
434232940,Female,30,2,1,1,1,1
467061846,Female,37,4,2,2,3,3
483894749,Male,70,1,1,1,1,1
413315540,Male,59,1,2,1,1,1
444472247,Male,51,1,1,1,1,1
407406346,Female,58,1,1,1,1,1
433887445,Female,55,1,1,1,1,1
403738545,Female,44,1,1,1,1,2
433528043,Female,69,1,1,1,1,1
473713243,Male,67,1,1,1,1,1
414404642,Female,32,2,1,1,1,2
421651540,Male,64,2,1,1,1,4
483237442,Female,72,3,1,1,1,1
483632245,Male,60,1,1,1,1,1
484412148,Female,30,1,1,1,1,1
417429844,Female,33,2,1,1,1,1
447814641,Female,36,3,2,2,1,2
454712541,Male,33,2,1,1,1,3
457155446,Female,20,1,1,1,1,1
493507743,Male,58,1,1,1,1,1
417014248,Male,58,2,1,1,1,1
484689242,Male,58,1,1,1,1,1
401173246,Male,21,3,4,4,4,4
431727142,Male,38,2,2,1,1,1
434928249,Female,40,3,3,4,4,1
483598142,Female,43,1,2,1,1,1
413294441,Male,71,4,4,3,3,3
463589740,Male,44,1,1,1,1,1
444984841,Male,37,1,1,1,1,1
443094949,Male,60,2,4,3,3,4
483387247,Female,33,1,1,1,1,2
477413747,Female,50,2,2,1,1,2
473291142,Male,55,3,2,3,3,2
493742642,Female,33,1,1,1,1,1
471983945,Female,30,1,1,2,2,3
453889443,Male,82,2,2,2,2,2
487650945,Female,50,1,3,4,3,4
474609747,Male,48,3,3,3,3,2
433194146,Female,71,2,1,1,1,1
411483643,Male,29,1,1,1,1,2
417234344,Male,61,1,1,1,1,1
473534142,Male,64,2,2,3,1,2
417356444,Female,22,2,1,1,1,2
471517044,Female,56,1,1,1,1,1
427285441,Female,26,1,1,1,1,1
483894847,Male,74,2,1,2,1,1
437186245,Male,29,3,2,2,3,2
477148646,Female,39,2,1,1,1,2
447955347,Female,23,2,2,2,1,2
414569543,Male,48,2,3,2,2,1
